Tempo, MFCC average, MFCC variance, Spectral centroid average, Spectral centroid variance, Spectral bandwidth average, Spectral bandwidth variance, Spectral roll-off average, Spectral roll-off variance, Spectral contrast average, Spectral contrast variance, Spectral flatness average,Spectral flatness variance, Zero crossing rate average, Zero crossing rate variance 
-0.03228426439178246, 0.5347149561867879, 0.01270751676072954, -0.520940770078057, -0.7175471810929824, -0.28676356269285797, -0.45813778503874975, -0.37965786086883047, -0.5771779189202105, -0.8617890206087759, -0.331592702369956, -0.626885563483266, -0.44612481501781676, -0.6707639863489596, -0.6678363241870139, 
0.16052603740726587, 0.5474448211271923, -0.48872595872364605, -0.25118126249889255, -0.4621516375681709, -0.11252433515381348, -0.4670110938522483, -0.08742806335225792, -0.4348441049233153, -0.6345074382941632, 0.009211563030330114, -0.5021741839445131, -0.41581152196597493, -0.31282400757792533, -0.42102265172282016, 
-0.03228426439178246, 0.32792018106825394, -0.4466008116296295, -0.5428222879038413, -0.7122449052636254, -0.5648777985940039, -0.38370074557077277, -0.5316004024347377, -0.6530440617604573, -0.6446672751822703, -0.6002518490379749, -0.6358398838559092, -0.4487085020769886, -0.3713238933050467, -0.57586914364632, 
-0.5143100188894033, -0.053287772939712943, 1.3606815657920126, -1.1388037701257223, -0.5952819230607378, -1.2739164263726028, 0.21141551090898575, -1.1084310832470043, -0.4266571065399133, -0.6517601752047408, 0.7824165365553593, -0.7484828373669027, -0.4558040058455438, -0.7133994962856776, -0.36045284292238433, 
-1.7574290699622148, -0.058466734572016836, 1.163993617813418, -1.0586537730386127, -0.5930182573934567, -0.28214250514131517, 0.08515144160662394, -0.8435382283552597, 0.2171918558316258, -0.5573261763784745, -0.1595966057998926, -0.7334273801533656, -0.4557020171260677, -1.4087879684318074, -0.7109759629333267, 
1.5101981500006043, 0.28032907931327544, 0.2964321591725666, -0.8356995016987493, -0.45416092273431585, -0.3236365983003993, 0.31714365458616256, -0.6153065445805302, 0.4056301122085469, -0.804807301139862, -0.33005566849952883, -0.702123405448973, -0.4540757968673406, -1.0425852939365992, -0.6511489927099982, 
1.1727801218522695, 0.3704607434900854, -0.10053549577543336, -0.8139108758260604, -0.5517420334526393, -0.8886229052019937, -0.2503600893791298, -0.8579483996613694, -0.47825594856145026, 1.7046700206793195, 2.4820119105120697, -0.6790741210441055, -0.4514605310630926, -0.6568826575323564, -0.6014921161778638, 
0.875058332309621, -0.0667183904865127, 0.8797354848426843, -0.8650448582048356, -0.4051080850863127, -0.9837853317913398, -0.13697501998837872, -0.9338137133023646, -0.2976419065746511, 1.2066645635445168, 0.3362554016000531, -0.6747093747870097, -0.441125240825849, -0.7041452770746074, -0.5231014354511696, 
1.1727801218522695, 0.4656804095000513, -0.16088211744616318, -0.5865358643742659, -0.7592402710939977, -0.6120113413796233, -0.6586007975246494, -0.7443623434837886, -0.7498985303172632, 0.7236346045853, 1.1628511359932399, -0.6650877535029351, -0.4536064062913476, -0.2989426787613184, -0.5351497446052454, 
-1.9133603795044491, 0.225748746572838, 0.9044732137069651, -1.6999413520495767, -0.7389267656871583, -1.5448550718682295, -0.2347694948765972, -1.6767851927027353, -0.7752686084298107, 0.24735115129768606, 0.20986523618377184, -0.7590454160095943, -0.45603894016472796, -1.6408044643664954, -0.7312275422530552, 
-1.8639821314827416, 0.07213902328638783, 0.4688449701728354, -1.39819835118261, -0.37039376802779406, -0.9153229583503003, 0.9514620621039379, -1.296399053078188, 0.1627362954870014, 0.6846701454105157, -0.37941192714770927, -0.7299501438082292, -0.45373488449916555, -1.459686174092693, -0.5600299703815091, 
1.895818753598701, 0.09868581985744147, 0.6034758308448114, -1.49648898323064, -0.36813817642922986, -1.1411129903045534, 0.40843223721297633, -1.4691091944676065, 0.014798879690870294, 0.35824718602755257, -0.41931549263275053, -0.7207331412504089, -0.44150207724257323, -1.5267792633729516, -0.5999559370190266, 
0.16052603740726587, -1.4112297943711327, 1.2452654736504847, -0.08648397390282073, -0.1929829063231874, -0.42070391390273854, -0.2621243432480252, -0.11879137737144076, 0.09274150851986106, 0.6454862152075256, 2.557564336811136, -0.6077341314086692, -0.44162006466893533, 0.1436073042252163, -0.2806135810594196, 
0.37363216044831965, -1.484662275144622, 1.01296262372403, -0.3843080910722094, -0.32912280395998694, -0.6373846671498214, -0.39977448885884787, -0.40318034638321865, -0.20766755356811334, 0.44877467960306355, 0.012599539835411547, -0.6296724583092588, -0.4469321521035301, -0.19879880658438184, -0.4206541707327174, 
